Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,697850.0651,-4874038.732,-10676567.96,-9980132.279,3602275.009,6200565.7,10925575.5,1497424,7300593.947,5976946.527,889074.9,5183898.8,5644286.5,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.8,70035157.3,1852792.6,3475007.9,3000000,7256090.484,6888751.401,18003535.46
Canada,8401707941,3514220103,7018240063,4178460317,9541029102,13657593613,8817677647,15182400422,24979208298,27456044687,68303350856,28391098831,24486425377,7011792709,1452416545,25552226941,64302303097,1.20451E+11,70119614333,20951090410,29714744325,38338330427,49368985104,67027866778,64174605786,59986208237,34201872161,25357801000,42603762049
Central Europe and the Baltics,646818999.9,1849041210,2522640712,5563094009,5377514695,12558106072,11262472731,14298828887,19665293910,22103118135,23562956308,21625801493,26481834433,20414105078,43043918533,74726630916,81628100566,1.53393E+11,1.38572E+11,30638671436,20999153920,50013606915,39263315156,15349122065,52915530476,22467108648,1.15651E+11,28978937691,-21194240711
Switzerland,5544796310,2838789161,1128487634,1706937974,3682699145,4158247960,4880219416,8391921106,11345529735,14541329308,23080879763,9765012889,8258050580,19721053893,7102294153,2664910821,53760772986,48688296543,2990936685,47658570355,17670735603,20764483835,39943494322,-24926465857,21003091522,1.18752E+11,1.66801E+11,1.43236E+11,-1.60388E+11
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,661200000,822700000,936100000,1034300000,2582100000,2957000000,4814616000,5271400000,4627817978,8761016218,4860015668,4199763049,2549923142,4026497833,6797252642,7462207180,7586190390,13474760473,18473102612,13855126065,16019683112,25564944877,31368232403,22210440993,23558041868,20879139389,12328624278,6127820993,7759647365
China,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,45439000000,45644000000,41014000000,42095300000,47053000000,53073618897,57900937467,68117272181,1.04109E+11,1.24082E+11,1.56249E+11,1.71535E+11,1.31057E+11,2.43703E+11,2.80072E+11,2.41214E+11,2.90928E+11,2.68097E+11,2.42489E+11,1.7475E+11,1.66084E+11,2.35365E+11
Cote d'Ivoire,48434429.6,18524885.9,69053843.7,175153533.4,117538566.8,211760840.4,269194529.6,415458076.4,760099126.7,235348766.2,234701731.5,272679898.3,212580417.5,165390571.2,282979831,349059586.5,350964618.6,443801751.4,468377743.9,397624744.3,358468317.3,301972462.5,330255520.7,407592122.1,439356961.2,494408755.8,577871524.2,975014998.8,620330654.4
Cameroon,-112831336.8,-14498049.75,29203775.78,5120733.123,3674320.509,15105727.29,104417058.4,149614497.8,55231294.16,35009801.84,159708006.2,-11668387.38,505256043.3,334888535.9,67984855.64,243601636.5,59122291.34,189581294.6,20995513.74,746276649,536265313.2,653266626.6,527363935.6,547404749.8,725854540.9,694336734.9,663893595.2,814458940.9,765092012.8
"Congo, Dem. Rep.",-14460000,12390000,-730000,6870000,-1500000,-22350000,24789999.9,-44350000,61329999.9,11160000,94190399.9,102221899.9,187598693.6,391254723.5,409032814.4,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1596024304,2891607809,1697585831,1499572152,1165720010,932374669.4,1047979483,1407563588
"Congo, Rep.",22551558.2,32753529.6,2739032.5,286054322,2990000,112782084.6,62427618.58,-49200799.91,-169664715.5,-68273606.08,-97897925.12,-135361238.2,199155451,219545648.8,88399286.1,800996241.6,1487693084,1422370639,1940120151,1184284701,1520744891,298288001.2,-69253909.37,1878325499,2887256932,4278118365,50574345.34,4416953734,4315250918
Colombia,500000000,456900000,728700000,959100000,1446497261,968368273.6,3111676590,5562216362,2828826262,1507907130,2436459923,2541942612,2133698124,1720493455,3115635874,10235417315,6750625311,8885764398,10564155796,8034746177,6429989613,14647048638,15039979139,16210419016,16168701715,11620532646,13857937721,13700880445,11298692774
Comoros,393003.1038,2506163.334,-1446978.125,190704.7806,177714.24,889525.0177,510000,20000,384216.3,271000,93636.115,1145914.995,430423.479,793243.7346,672560.3786,558865.8,778420.2139,7691947.289,4650574.157,13839598.17,8350406.722,23118440.54,10375197.46,4231644.417,4684558.675,4936699.51,3569823.73,3919473.025,5672348.129
Cabo Verde,252601.2166,1744334.228,450471.753,3644068.127,2128443.354,26180647.12,28528007.74,11576610.74,6793745.394,53935025.35,34202238.38,9010186.206,14759046.68,39216510.81,67638273.8,80513541.33,131539968,191764359.2,210903689.3,126003552.2,116200563.6,102246382.2,128009964.8,89297444,180589795.4,96071472.84,126312006.1,111711633.7,112695606.4
Costa Rica,162500000,178400000,226000000,246700000,297600000,336900000,426950000,409440000,614500000,619469212,723426415.3,621846413.2,723172624.8,774386239.8,1083718486,1528787464,1801002598,2241492021,2436112218,1614614468,1906923793,2733268840,2696295211,3205384977,3242149797,2955521681,2620435491,2924906991,3014543618
Caribbean small states,377432455,526483875.5,572953464.2,653965212.1,885069632.5,835726537.7,839764566.1,1685532067,1580922408,1666996131,1708338669,2038044659,2134414351,2329939021,2533129347,3284457854,3749496377,3938759458,6617474875,3006666779,2587458156,2241090590,672346250.5,928627334.7,3079599971,2928917702,2892347632,2014802145,2835137647
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,70502234.64,69702234.64,-1508379.888,69296089.39,146435754.2,133083798.9,172681564.2,126924996.8
Cayman Islands,49039999.9,-8539999.9,27489999.9,459759999.9,467069999.9,50310000,1231710000,3150870000,4354110000,6475830000,9358723000,2133108000,2802975000,2602570000,3703461000,9506484000,24820937000,28210535000,19555735000,20298045000,20965962640,31131855110,21489604740,34907994320,46040609770,80501525460,2684234739,2506466934,173644548.8
Cyprus,126615461.4,81820990.74,107441112.7,83432989.4,75174068.6,243136818.6,233749453.8,546519214.6,345398143.2,813054280.1,854874285.7,944742874,1103449726,908147518,1118841809,1161973511,1871897927,2294635571,12297296307,64632059145,31031904287,40445860585,69972767554,25966316071,51738978689,28960532080,8508203489,14406568776,-1110259659
Czech Republic,,,,654278424.7,878231739.7,2567564642,1435279128,1286492873,3700169388,6312596676,4987079129,5640707236,8496609036,2021275746,6423465151,13730164683,7132002408,13815656004,8815393022,5271613702,10167834375,4188736491,9433199805,7357578653,8088661930,1699914617,10850612308,11234740946,8324668391
Germany,2556702846,4741534934,-2137728434,479814189.3,7517248751,12041505213,15591797829,18638443894,29526509277,86035665071,2.48007E+11,56948542387,51268214891,65401516009,-20408419557,59835195025,87444159239,50847183837,30954735498,56701916795,86037502102,97535403953,65443087632,67199694459,19488312315,62422464519,64707795193,1.09506E+11,1.58515E+11
Djibouti,60000,2290106.403,2290106.403,1423579.656,1423579.656,3218527.917,3263542.294,3100365.179,3173513.541,3212901.12,3286049.482,3392958.626,3432346.206,14224542.96,38543559.85,22203341.19,108287709.4,195351140.3,227654582.2,96859684.56,36501032.52,79000230.7,109998255.7,286004467.7,152998238.8,143832186.4,159997974.4,164929862,170000000
Dominica,12888888.89,15222222.22,20411111.11,13200000,22600000,54092592.59,17800000,21114814.81,6511111.111,17955555.56,17596296.3,17115925.93,20110637.04,31472140.74,26173948.15,19235559.26,25907525.93,40486774.81,56548262.96,42420685.56,24341705.19,14192972.59,23152398.15,17915757.41,12349892.8,7160376.509,42264926.11,22677207.69,78283172.03
Denmark,1132146350,1552515351,1017385349,1712766178,5006178362,4139423320,773444115.8,2791671359,6674661469,16847919226,36013297907,9286404806,4430703179,1184825160,-8804165491,12847031342,2385249288,11809448518,2191215666,3771059440,-11767861925,13558894634,-16349825685,680338945.9,6577348987,1850770715,7804020827,3607276300,8764023726
Dominican Republic,132800000,145000000,179700000,190700000,208100000,417400000,134200000,408700000,668900000,1344900000,989000000,1087900000,926000000,616530000,934480000,1118400000,1528700000,2252900000,2728400000,1695300000,1820200000,2197500000,3415900000,1599900000,2385300000,2227300000,2516100000,3597900000,2744500000
Algeria,334914.5642,11638686.45,30000000,1000,1000,1000,270000000,260000000,606600000,291600000,280100000,1113105541,1064960000,637853027,884749028,1156000000,1841000000,1686736540,2638607034,2746930734,2300369124,2571237025,1500402453,1691886708,1502206171,-537792920.9,1638263954,1230243451,1466116068
East Asia & Pacific (excluding high income),10394966799,13162288082,21342807238,38807970566,45467354630,50702487672,58560367769,63348378747,59556894377,53023921805,48070308982,52301946619,63363989129,68468781716,83280329317,1.2927E+11,1.52512E+11,1.93554E+11,2.11782E+11,1.5605E+11,2.9845E+11,3.37203E+11,3.04681E+11,3.61757E+11,3.29594E+11,3.06202E+11,2.20259E+11,2.40019E+11,3.11266E+11
Early-demographic dividend,11467360413,15783449697,17281763502,18195006271,29768906884,33499041126,41162199116,58082008244,51007976067,60996601071,51281457720,59935106069,51165203215,43032682342,63509610874,1.11596E+11,1.54537E+11,1.94439E+11,2.35612E+11,1.70468E+11,1.867E+11,1.93459E+11,1.84395E+11,2.18402E+11,1.87069E+11,2.17729E+11,1.98011E+11,2.12173E+11,2.23699E+11
East Asia & Pacific,33599596975,27434684003,38089457276,59909061767,72331478088,89651923009,94206961325,1.09178E+11,98167597421,1.29579E+11,1.75113E+11,1.2748E+11,1.12947E+11,1.26752E+11,1.98738E+11,1.89046E+11,2.88014E+11,3.96067E+11,3.87381E+11,2.87566E+11,4.97025E+11,5.60738E+11,5.16809E+11,5.91247E+11,6.31305E+11,6.17513E+11,5.31774E+11,5.59912E+11,6.02225E+11
